"","latitude","longitude"
"290",22.76,120.293
"291",23.1,120.355
"292",22.567,120.337
"293",22.711,120.295
"294",22.721,120.313
"295",25.062,121.451
"296",22.674,120.288
"297",22.694,120.301
"298",22.504,120.378
"299",22.917,120.452
"300",25.062,121.451
"301",22.801,120.232
"302",22.913,120.182
"303",22.888,120.186
"304",22.507,120.393
"305",22.487,120.396
"306",22.783,120.247
"307",22.888,120.48
"308",22.906,120.222
"309",22.908,120.213
"310",22.895,120.225
"311",22.887,120.244
"312",22.632,120.334
"313",22.709,120.302
"314",25.062,121.451
"315",25.062,121.451
"316",22.91,120.198
"317",22.9,120.543
"318",22.733,120.328
"319",23.159,120.182
"320",22.728,120.299
"321",22.608,120.311
"322",22.9,120.553
"323",22.613,120.313
"324",22.646,120.308
"325",22.606,120.306
"326",22.615,120.32
"327",22.958,120.535
"328",22.478,120.411
"329",22.608,120.314
"330",22.898,120.627
"331",22.672,120.295
"332",25.062,121.451
"333",25.062,121.451
"334",22.591,120.317
"335",25.062,121.451
"336",22.614,120.339
"337",23.153,120.179
"338",23.125,120.165
"339",23.178,120.152
"340",23.266,120.446
"341",23.306,120.362
"342",23.323,120.404
"343",23.17,120.326
"344",23.074,120.519
"345",22.989,120.202
"346",22.992,120.201
"347",22.961,120.254
"348",22.99,120.259
"349",22.989,120.217
"350",22.912,120.26
"351",22.919,120.217
"352",22.982,120.238
"353",22.984,120.201
"354",25.062,121.451
"355",22.962,120.298
"356",22.971,120.288
"357",22.914,120.272
"358",22.622,120.286
"359",22.688,120.333
"360",22.748,120.379
"361",22.781,120.303
"362",23.142,120.273
"363",22.792,120.303
"364",22.653,120.34
"365",22.658,120.393
"366",22.792,120.282
"367",22.621,120.285
"368",22.963,120.325
"369",22.561,120.369
"370",22.821,120.305
"371",22.74,120.445
"372",22.971,120.225
"373",22.687,120.408
"374",22.973,120.215
"375",22.697,120.372
"376",22.683,120.357
"377",22.73,120.346
"378",23.276,120.721
"379",24.355,120.624
"380",23.961,120.468
"381",23.286,120.138
"382",24.181,120.613
"383",24.151,120.674
"384",22.799,120.292
"385",22.642,120.368
"386",22.608,120.271
"387",22.617,120.357
"388",22.804,120.247
"389",22.632,120.298
"390",22.577,120.294
"391",25.062,121.451
"392",22.64,120.353
"393",25.062,121.451
"394",22.874,120.269
"395",22.836,120.28
"396",23.329,120.26
"397",23.026,120.255
"398",23.056,120.403
"399",23.007,120.178
"400",23.012,120.217
"401",23.241,120.175
"402",23.261,120.138
"403",23.139,120.138
"404",22.99,120.232
"405",22.932,120.18
"406",22.979,120.196
"407",22.982,120.245
"408",22.917,120.567
"409",22.614,120.3
"410",25.062,121.451
"411",22.618,120.329
"412",22.613,120.296
"413",22.621,120.323
"414",22.636,120.319
"415",22.626,120.293
"416",23.266,120.387
"417",25.062,121.451
"418",22.972,120.355
"419",23.254,120.249
"420",23.186,120.253
"421",25.062,121.451
"422",25.062,121.451
"423",23.219,120.161
"424",22.939,120.333
"425",23.191,120.22
"426",23.187,120.266
"427",23.322,120.27
"428",22.904,120.352
"429",23.065,120.13
"430",24.308,120.708
"431",24.113,120.622
"432",23.963,120.568
"433",24.018,120.695
"434",22.504,120.388
"435",22.638,120.389
"436",25.062,121.451
"437",22.76,120.305
"438",22.759,120.264
"439",22.733,120.248
"440",22.933,120.503
"441",22.776,120.448
"442",22.847,120.465
"443",22.795,120.234
"444",24.156,120.568
"445",24.216,120.651
"446",24.143,120.613
"447",23.214,120.136
"448",23.122,120.199
"449",23.122,120.209
"450",23.121,120.18
"451",23.14,120.214
"452",24.125,120.671
"453",23.063,120.173
"454",22.635,120.397
"455",23.08,120.219
"456",23.049,120.174
"457",24.195,120.56
"458",24.305,120.713
"459",25.062,121.451
"460",22.958,120.334
"461",22.594,120.336
"462",23.376,120.445
"463",23.344,120.437
"464",23.401,120.435
"465",23.309,120.459
"466",22.722,120.442
"467",23.33,120.507
"468",22.655,120.423
"469",22.919,120.43
"470",22.68,120.304
"471",22.708,120.438
"472",23.081,120.588
"473",22.679,120.354
"474",22.628,120.357
"475",22.633,120.359
"476",22.628,120.375
"477",22.624,120.362
"478",22.624,120.356
"479",22.596,120.325
"480",22.976,120.544
"481",22.683,120.288
"482",22.989,120.559
"483",22.626,120.336
"484",22.607,120.388
"485",22.617,120.35
"486",23.022,120.561
"487",25.062,121.451
"488",25.062,121.451
"489",25.062,121.451
"490",23.124,120.31
"491",23.025,120.349
"492",23.033,120.302
"493",23.086,120.319
"494",23.078,120.296
"495",22.735,120.293
"496",22.79,120.337
"497",22.777,120.405
"498",22.877,120.332
"499",25.062,121.451
"500",22.882,120.329
"501",22.895,120.298
"502",22.713,120.292
"503",22.634,120.352
"504",22.623,120.282
"505",22.849,120.324
"506",22.856,120.259
"507",22.869,120.291
"508",23.184,120.268
"509",23.016,120.248
"510",23.006,120.257
"511",23.24,120.317
"512",23.366,120.366
"513",22.954,120.244
"514",22.945,120.23
"515",23.004,120.23
"516",23.222,120.4
